true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.355730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644270
DoS,0.521550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.478450
double,0.387900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.612100
force-neutral,0.862987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137013
fuzzing,0.230968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769032
interval,0.143333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.856667
rpm,0.267896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732104
rpm-accessory,0.061348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.938652
speed,0.161558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.838442
