true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.056102,0.000000,0.000000,0.000000,0.943898,0.000000
DoS,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
double,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
force-neutral,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
fuzzing,0.010175,0.000000,0.000000,0.000000,0.989825,0.000000
interval,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
