round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.400108,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
2,0.172033,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
3,0.053655,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
4,0.040746,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
5,0.044613,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
