true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.222354,0.000000,0.000000,0.000000,0.777646,0.000000
DoS,0.064295,0.000000,0.000000,0.000000,0.935705,0.000000
double,0.021832,0.000000,0.000000,0.000000,0.978168,0.000000
force-neutral,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
fuzzing,0.377965,0.000000,0.000000,0.000000,0.622035,0.000000
interval,0.000691,0.000000,0.000000,0.000000,0.999309,0.000000
