true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,0.999206,0.000000,0.000000,0.000173,0.000000,0.000620
class_1,0.353891,0.010013,0.061940,0.049632,0.011964,0.512560
class_2,0.707129,0.001285,0.002569,0.084136,0.007065,0.197816
class_3,0.989470,0.000000,0.000001,0.009873,0.000000,0.000657
class_4,0.790749,0.001000,0.003598,0.027987,0.000450,0.176216
class_5,0.724436,0.000152,0.000106,0.124141,0.000000,0.151165
