true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.232971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767029
DoS,0.521550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.478450
double,0.283413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.716587
force-neutral,0.750870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249130
fuzzing,0.150904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.849096
interval,0.143333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.856667
rpm,0.210986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789014
rpm-accessory,0.021615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978385
speed,0.161558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.838442
